month,peak,off_peak,solar_feed_in
20220101,246,608,
20220201,236,474,
20220301,295,435,
20220401,339,598,
20220501,550,836,
20220601,773,1195,
20220701,660,1282,
20220801,553,984,
20220901,567,1022,
20221001,390,820,
20221101,375,558,
20221201,315,610,
20230101,176,370,587
20230201,169,301,474
20230301,221,393,373
20230401,188,477,237
20230501,320,602,163
20230601,417,738,111
20230701,397,777,122
20230801,324,612,246
20230901,198,516,399
20231001,221,472,525
20231101,173,372,670
20231201,146,336,658
20240101,134,283,639
20240201,169,271,611
20240301,188,379,480
20240401,227,407,283
20240501,362,591,154
20240601,420,876,86
20240701,429,903,111
20240801,350,567,205
20240901,274,503,331
20241001,210,363,519
20241101,163,310,555
20241201,151,299,613
20250101,123,285,679
20250201,176,376,489
20250301,216,552,446
20250401,309,607,219
20250501,353,704,122
20250601,508,1149,89
20250701,445,1192,50
20250801,27,1565,16
20250901,30,1178,44